     n      repetitions       time
     0        22973146       0.000000
    10         1799512       0.000001
    20          601215       0.000002
    30          308097       0.000003
    40          185488       0.000005
    50          125856       0.000008
    60           88437       0.000011
    70           66718       0.000015
    80           52507       0.000019
    90           42682       0.000023
   100           35766       0.000028
   200            9590       0.000104
   300            4439       0.000228
   400            2538       0.000400
   500            1632       0.000621
   600            1137       0.000892
   700             838       0.001210
   800             644       0.001575
   900             507       0.002000
  1000             410       0.002473
  1100             339       0.002991
  1200             283       0.003583
  1300             241       0.004207
  1400             208       0.004875
  1500             177       0.005729
  1600             157       0.006459
  1700             140       0.007243
  1800             124       0.008177
  1900             111       0.009135
  2000              98       0.010347
