     n    repetitions    time
     0     23050190    0.000000
    10      1814042    0.000001
    20       592704    0.000002
    30       303095    0.000003
    40       182471    0.000006
    50       124331    0.000008
    60        89525    0.000011
    70        67891    0.000015
    80        53077    0.000019
    90        42810    0.000024
   100        34985    0.000029
   200         9424    0.000108
   300         4276    0.000237
   400         2435    0.000416
   500         1565    0.000648
   600         1094    0.000927
   700          806    0.001258
   800          619    0.001638
   900          489    0.002074
  1000          394    0.002574
  1100          326    0.003110
  1200          276    0.003674
  1300          234    0.004333
  1400          199    0.005025
  1500          173    0.005798
  1600          155    0.006542
  1700          137    0.007401
  1800          122    0.008311
  1900          110    0.009218
  2000           99    0.010242
