     n      repetitions       time
     0        23183420       0.000000
    10         4815740       0.000000
    20         1369843       0.000001
    30          611301       0.000002
    40          345421       0.000003
    50          229643       0.000004
    60          162120       0.000006
    70          120499       0.000008
    80           93037       0.000011
    90           73851       0.000014
   100           59356       0.000017
   200           15562       0.000065
   300            6990       0.000145
   400            3935       0.000258
   500            2524       0.000402
   600            1754       0.000578
   700            1274       0.000785
   800             990       0.001024
   900             783       0.001295
  1000             634       0.001599
  1100             525       0.001931
  1200             440       0.002305
  1300             375       0.002704
  1400             323       0.003139
  1500             281       0.003609
  1600             248       0.004089
  1700             219       0.004630
  1800             196       0.005173
  1900             176       0.005761
  2000             158       0.006418
